award,year,best_picture_cast,best_male_lead,best_male_support,best_female_lead,best_female_support,win
Screen Actors Guild Award,2011,The King's Speech,Colin Firth,Christian Bale,Natalie Portman,Melissa Leo,True
Screen Actors Guild Award,2011,Black Swan,Jeff Bridges,John Hawkes,Annette Bening,Amy Adams,False
Screen Actors Guild Award,2011,The Fighter,Robert Duvall,Jeremy Renner,Nicole Kidman,Helena Bonham Carter,False
Screen Actors Guild Award,2011,The Kids Are All Right,Jesse Eisenberg,Mark Ruffalo,Jennifer Lawrence,Mila Kunis,False
Screen Actors Guild Award,2011,The Social Network,James Franco,Geoffrey Rush,Hilary Swank,Hailee Steinfeld,False
Screen Actors Guild Award,2010,Inglourious Basterds,Sandra Bullock,Christoph Waltz,Jeff Bridges,Mo'Nique,True
Screen Actors Guild Award,2010,An Education,Helen Mirren,Matt Damon,George Clooney,Penélope Cruz,False
Screen Actors Guild Award,2010,The Hurt Locker,Carey Mulligan,Woody Harrelson,Colin Firth,Vera Farminga,False
Screen Actors Guild Award,2010,Nine,Gabourey Sidibe,Christopher Plummer,Morgan Freeman,Anna Kendrick,False
Screen Actors Guild Award,2010,"Precious: Based on the Novel ""Push"" by Sapphire",Meryl Streep,Stanley Tucci,Jeremy Renner,Diane Kruger,False
Screen Actors Guild Award,2009,Slumdog Millionaire,Sean Penn,Heath Ledger,Meryl Streep,Kate Winslet,True
Screen Actors Guild Award,2009,The Curious Case of Benjamin Button,Richard Jenkins,Josh Brolin,Anne Hathaway,Amy Adams,False
Screen Actors Guild Award,2009,Doubt,Frank Langella,"Robert Downey, Jr.",Angelina Jolie,Penélope Cruz,False
Screen Actors Guild Award,2009,Frost/Nixon,Brad Pitt,Philip Seymour Hoffman,Melissa Leo,Viola Davis,False
Screen Actors Guild Award,2009,Milk,Mickey Rourke,Dev Patel,Kate Winslet,Taraji P. Henson,False
Screen Actors Guild Award,2008,No Country For Old Men,Daniel Day-Lewis,Javier Bardem,Julie Christie,Ruby Dee,True
Screen Actors Guild Award,2008,3:10 to Yuma,George Clooney,Casey Affleck,Cate Blanchett,Cate Blanchett,False
Screen Actors Guild Award,2008,American Gangster,Ryan Gosling,Hal Holbrook,Marion Cotillard,Catherine Keener,False
Screen Actors Guild Award,2008,Hairspray,Emile Hirsch,Tommy Lee Jones,Angelina Jolie,Amy Ryan,False
Screen Actors Guild Award,2008,Into The Wild,Viggo Mortensen,Tom Wilkinson,Ellen Page,Tilda Swinton,False
Screen Actors Guild Award,2007,Little Miss Sunshine,Forest Whitaker,Eddie Murphy,Helen Mirren,Jennifer Hudson,True
Screen Actors Guild Award,2007,Babel,Leonardo DiCaprio,Alan Arkin,Penélope Cruz,Adriana Barraza,False
Screen Actors Guild Award,2007,Bobby,Ryan Gosling,Leonardo DiCaprio,Judi Dench,Cate Blanchett,False
Screen Actors Guild Award,2007,The Departed,Peter O'Toole,Jackie Earle Haley,Meryl Streep,Abigail Breslin,False
Screen Actors Guild Award,2007,Dreamgirls,Will Smith,Djimon Hounsou,Kate Winslet,Rinko Kikuchi,False
Screen Actors Guild Award,2006,Crash,Philip Seymour Hoffman,Paul Giamatti,Reese Witherspoon,Rachel Weisz,True
Screen Actors Guild Award,2006,Brokeback Mountain,Russell Crowe,Don Cheadle ,Judi Dench,Amy Adams,False
Screen Actors Guild Award,2006,Capote,Heath Ledger,George Clooney,Felicity Huffman,Catherine Keener,False
Screen Actors Guild Award,2006,"Good Night, And Good Luck",Joaquin Phoenix,Matt Dillon,Charlize Theron,Frances McDormand,False
Screen Actors Guild Award,2006,Hustle & Flow,David Strathairn,Jake Gyllenhaal,Ziyi Zhang ,Michelle Williams,False
Screen Actors Guild Award,2005,Sideways,Jamie Foxx,Morgan Freeman,Hilary Swank,Cate Blanchett,True
Screen Actors Guild Award,2005,The Aviator,Don Cheadle,Thomas Haden Church,Annette Bening,Cloris Leachman,False
Screen Actors Guild Award,2005,Finding Neverland,Johnny Depp,Jamie Foxx,Catalina Sandino Moreno,Laura Linney,False
Screen Actors Guild Award,2005,Hotel Rwanda,Leonardo DiCaprio,James Garner,Imelda Staunton,Virginia Madsen,False
Screen Actors Guild Award,2005,Million Dollar Baby,Paul Giamatti,Freddie Highmore,Kate Winslet,Sophie Okonedo,False
Screen Actors Guild Award,2005,Ray,na,na,na,na,False
Screen Actors Guild Award,2004,THE LORD OF THE RINGS: THE RETURN OF THE KING ,Johnny Depp,Tim Robbins,Charlize Theron,Renée Zellweger,True
Screen Actors Guild Award,2004,In America,Peter Dinklage,Alec Baldwin,Patricia Clarkson,Maria Bello,False
Screen Actors Guild Award,2004,Mystic River,Ben Kingsley,Chris Cooper,Diane Keaton,Keisha Castle-Hughes,False
Screen Actors Guild Award,2004,Seabiscuit,Bill Murray,Benicio Del Toro,Naomi Watts,Patricia Clarkson,False
Screen Actors Guild Award,2004,The Station Agent,Sean Penn,Ken Watanabe,Evan Rachel Wood,Holly Hunter,False
Screen Actors Guild Award,2003,Chicago,Daniel Day-Lewis,Christopher Walken,Renée Zellweger,Catherine Zeta-Jones,True
Screen Actors Guild Award,2003,Adaptation,Adrien Brody,Chris Cooper,Salma Hayek,Kathy Bates,False
Screen Actors Guild Award,2003,The Hours,Nicolas Cage,Ed Harris,Nicole Kidman,Julianne Moore,False
Screen Actors Guild Award,2003,The Lord of the Rings: The Two Towers,Richard Gere,Alfred Molina,Diane Lane,MIchelle Pfeiffer,False
Screen Actors Guild Award,2003,My Big Fat Greek Wedding,Jack Nicholson,Dennis Quaid,Julianne Moore,Queen Latifah,False
Screen Actors Guild Award,2002,Gosford Park,Russell Crowe,Ian McKellen,Halle Berry,Helen Mirren,True
Screen Actors Guild Award,2002,A Beautiful Mind,Kevin Kline,Jim Broadbent,Jennifer Connelly,Cate Blanchett,False
Screen Actors Guild Award,2002,In The Bedroom,Sean Penn,Hayden Christensen,Judi Dench,Judi Dench,False
Screen Actors Guild Award,2002,Lord Of The Rings: The Fellowship of the Ring,Denzel Washington,Ethan Hawke,Sissy Spacek,Cameron Diaz,False
Screen Actors Guild Award,2002,Moulin Rouge,Tom Wilkinson,Ben Kingsley,Reneé Zellweger,Dakota Fanning,False
Screen Actors Guild Award,2001,Traffic,Benicio Del Toro,Albert Finney,Julia Roberts,Judi Dench,True
Screen Actors Guild Award,2001,Almost Famous,Jamie Bell,Jeff Bridges,Joan Allen,Kate Hudson,False
Screen Actors Guild Award,2001,Billy Elliot,Russell Crowe,Willem Dafoe,Juliette Binoche,Frances McDormand,False
Screen Actors Guild Award,2001,Chocolat,Tom Hanks,Gary Oldman,Ellen Burstyn,Julie Walters,False
