,year,best_drama,best_comedy,best_actor_drama,best_actor_comedy,best_supporting_actor,best_actress_drama,best_actress_comedy,best_supporting_actress,win,award
33,2013,Zero Dark Thirty  ,Salmon Fishing in the Yemen,Denzel Washington,Bill Murray,Tommy Lee Jones,Naomi Watts,Emily Blunt,Helen Hunt,False,Golden Globes
34,2013,Django Unchained,Silver Linings Playbook,John Hawkes,Bradley Cooper,Philip Seymour Hoffman,Rachel Weisz,Judi Dench,Nicole Kidman,False,Golden Globes
35,2012,The Descendants,The Artist,George Clooney,Jean Dujardin,Christopher Plummer,Meryl Streep,Michelle Williams,Octavia Spencer,True,Golden Globes
36,2012,Moneyball,50/50,Ryan Gosling,Brendan Gleeson,Kenneth Branagh,Glenn Close,Kate Winslet,Shailene Woodley,False,Golden Globes
37,2012,War Horse,Bridesmaids,Brad Pitt,Joseph Gordon-Levitt,Albert Brooks,Viola Davis,Jodie Foster,Bérénice Bejo,False,Golden Globes
38,2012,The Help,Midnight In Paris,Leonardo DiCaprio,Ryan Gosling,Jonah Hill,Rooney Mara,Charlize Theron,Jessica Chastain,False,Golden Globes
39,2012,Hugo,My Week With Marilyn,Michael Fassbender,Owen Wilson,Viggo Mortensen,Tilda Swinton,Kristen Wiig,Janet McTeer,False,Golden Globes
40,2012,The Ides of March,na,na,na,na,na,na,na,False,Golden Globes
41,2011,The Social Network,The Kids Are All Right,Colin Firth,Paul Giamatti,Christian Bale,Natalie Portman,Annette Bening,Melissa Leo,True,Golden Globes
42,2011,Black Swan,Burlesque,Jesse Eisenberg,Jake Gyllenhaal,Geoffrey Rush,Nicole Kidman,Anne Hathaway,Amy Adams,False,Golden Globes
43,2011,The Fighter,Red,James Franco,Kevin Spacey,Michael Douglas,Jennifer Lawrence,Angelina Jolie,Helena Bonham Carter,False,Golden Globes
44,2011,Inception,The Tourist,Ryan Gosling,Johnny Depp,Andrew Garfield,Michelle Williams,Julianne Moore,Mila Kunis,False,Golden Globes
45,2011,The King's Speech,Alice in Wonderland,Mark Wahlberg,Johnny Depp,Jeremy Renner,Halle Berry,Emma Stone,Jacki Weaver,False,Golden Globes
46,2010,Avatar,The Hangover,Jeff Bridges,Robert Downey Jr.,Christoph Waltz,Sandra Bullock,Meryl Streep,Mo'Nique,True,Golden Globes
47,2010,Up In The Air,(500) Days of Summer,Morgan Freeman,Matt Damon,Matt Damon,Emily Blunt,Sandra Bullock,Vera Farmiga,False,Golden Globes
48,2010,The Hurt Locker,It's Complicated,Tobey Maguire,Daniel Day-Lewis,Woody Harrelson,Helen Mirren,Marion Cotillard,Anna Kendrick,False,Golden Globes
