,index,category,year,win,entity
20,0,support_actor,2016,True,['Idris Elba']
21,1,support_actor,2016,False,['Christian Bale']
22,2,support_actor,2016,False,['Mark Rylance']
23,3,support_actor,2016,False,['Michael Shannon']
24,4,support_actor,2016,False,['Jacob Tremblay']
0,0,best_picture_cast,2015,True,['BIRDMAN']
1,1,best_picture_cast,2015,False,['BOYHOOD']
2,2,best_picture_cast,2015,False,['THE GRAND BUDAPEST HOTEL ']
3,3,best_picture_cast,2015,False,['THE IMITATION GAME ']
4,4,best_picture_cast,2015,False,['THE THEORY OF EVERYTHING ']
5,0,best_actress,2015,True,['JULIANNE MOORE ']
6,1,best_actress,2015,False,['JENNIFER ANISTON ']
7,2,best_actress,2015,False,['FELICITY JONES ']
8,3,best_actress,2015,False,['ROSAMUND PIKE ']
9,4,best_actress,2015,False,['REESE WITHERSPOON ']
10,0,best_actor,2015,True,['EDDIE REDMAYNE ']
11,1,best_actor,2015,False,['STEVE CARELL ']
12,2,best_actor,2015,False,['BENEDICT CUMBERBATCH ']
13,3,best_actor,2015,False,['JAKE GYLLENHAAL ']
14,4,best_actor,2015,False,['MICHAEL KEATON ']
15,0,support_actress,2015,True,['PATRICIA ARQUETTE ']
16,1,support_actress,2015,False,['KEIRA KNIGHTLEY']
17,2,support_actress,2015,False,['EMMA STONE']
18,3,support_actress,2015,False,['MERYL STREEP ']
19,4,support_actress,2015,False,['NAOMI WATTS ']
20,0,support_actor,2015,True,['J.K. SIMMONS ']
21,1,support_actor,2015,False,['ROBERT DUVALL ']
22,2,support_actor,2015,False,['ETHAN HAWKE ']
23,3,support_actor,2015,False,['EDWARD NORTON']
24,4,support_actor,2015,False,['MARK RUFFALO']
0,0,best_picture_cast,2014,True,['American Hustle']
1,1,best_picture_cast,2014,False,['12 Years a Slave']
2,2,best_picture_cast,2014,False,['August: Osage County']
3,3,best_picture_cast,2014,False,['Dallas Buyers Club']
4,4,best_picture_cast,2014,False,"[""Lee Daniels' The Butler""]"
5,0,best_actress,2014,True,['CATE BLANCHETT ']
6,1,best_actress,2014,False,['MERYL STREEP ']
7,2,best_actress,2014,False,['SANDRA BULLOCK ']
8,3,best_actress,2014,False,['JUDI DENCH ']
9,4,best_actress,2014,False,['EMMA THOMPSON ']
10,0,best_actor,2014,True,['MATTHEW McCONAUGHEY ']
11,1,best_actor,2014,False,['CHIWETEL EJIOFOR ']
12,2,best_actor,2014,False,['TOM HANKS ']
13,3,best_actor,2014,False,['FOREST WHITAKER ']
14,4,best_actor,2014,False,['BRUCE DERN ']
15,0,support_actress,2014,True,['LUPITA NYONG’O ']
16,1,support_actress,2014,False,['JENNIFER LAWRENCE ']
17,2,support_actress,2014,False,['JULIA ROBERTS ']
18,3,support_actress,2014,False,['JUNE SQUIBB ']
19,4,support_actress,2014,False,['OPRAH WINFREY ']
20,0,support_actor,2014,True,['JARED LETO ']
21,1,support_actor,2014,False,['MICHAEL FASSBENDER ']
22,2,support_actor,2014,False,['BARKHAD ABDI ']
23,3,support_actor,2014,False,['JAMES GANDOLFINI ']
24,4,support_actor,2014,False,['DANIEL BRÜHL ']
0,0,best_picture_cast,2013,True,['Argo']
1,1,best_picture_cast,2013,False,['The Best Exotic Marigold Hotel']
2,2,best_picture_cast,2013,False,['Les Misérables']
3,3,best_picture_cast,2013,False,['Lincoln']
4,4,best_picture_cast,2013,False,['Silver Linings Playbook']
5,0,best_actress,2013,True,['Jennifer Lawrence']
6,1,best_actress,2013,False,['Jessica Chastain']
7,2,best_actress,2013,False,['Marion Cotillard']
8,3,best_actress,2013,False,['Helen Mirren']
9,4,best_actress,2013,False,['Naomi Watts']
10,0,best_actor,2013,True,['Daniel Day-Lewis']
11,1,best_actor,2013,False,['Bradley Cooper']
12,2,best_actor,2013,False,['John Hawkes']
13,3,best_actor,2013,False,['Hugh Jackman']
14,4,best_actor,2013,False,['Denzel Washington']
15,0,support_actress,2013,True,['Anne Hathaway']
16,1,support_actress,2013,False,['Sally Field']
17,2,support_actress,2013,False,['Helen Hunt']
18,3,support_actress,2013,False,['Nicole Kidman']
19,4,support_actress,2013,False,['Maggie Smith']
20,0,support_actor,2013,True,['Tommy Lee Jones']
21,1,support_actor,2013,False,['Alan Arkin']
22,2,support_actor,2013,False,['Javier Bardem']
23,3,support_actor,2013,False,['Robert De Niro']
24,4,support_actor,2013,False,['Philip Seymour Hoffman']
0,0,best_picture_cast,2012,True,['The Help']
1,1,best_picture_cast,2012,False,['The Artist']
2,2,best_picture_cast,2012,False,['Bridesmaids']
3,3,best_picture_cast,2012,False,['The Descendants']
4,4,best_picture_cast,2012,False,['Midnight In Paris']
5,0,best_actress,2012,True,['Jean Dujardin']
6,1,best_actress,2012,False,['Demian Bichir']
7,2,best_actress,2012,False,['George Clooney']
8,3,best_actress,2012,False,['Leonardo DiCaprio']
9,4,best_actress,2012,False,['Brad Pitt']
10,0,best_actor,2012,True,['Octavia Spencer']
11,1,best_actor,2012,False,['Bérénice Bejo']
12,2,best_actor,2012,False,['Jessica Chastain']
13,3,best_actor,2012,False,['Melissa McCarthy']
14,4,best_actor,2012,False,['Janet McTeer']
15,0,support_actress,2012,True,['Christopher Plummer']
16,1,support_actress,2012,False,['Kenneth Branagh']
17,2,support_actress,2012,False,['Armie Hammer']
18,3,support_actress,2012,False,['Jonah Hill']
19,4,support_actress,2012,False,['Nick Nolte']
20,0,support_actor,2012,True,
21,1,support_actor,2012,False,
22,2,support_actor,2012,False,
23,3,support_actor,2012,False,
24,4,support_actor,2012,False,
0,0,best_picture_cast,2011,True,"[""The King's Speech""]"
