,index,category,year,win,entity
13,3,best_actor,1999,False,['Ian McKellen']
14,4,best_actor,1999,False,['Nick Nolte']
15,0,support_actress,1999,True,['Kathy Bates']
16,1,support_actress,1999,False,['Brenda Blethyn']
17,2,support_actress,1999,False,['Judi Dench']
18,3,support_actress,1999,False,['Rachel Griffiths']
19,4,support_actress,1999,False,['Lynn Redgrave']
20,0,support_actor,1999,True,['Robert Duvall']
21,1,support_actor,1999,False,['James Coburn']
22,2,support_actor,1999,False,['David Kelly']
23,3,support_actor,1999,False,['Geoffrey Rush']
24,4,support_actor,1999,False,['Billy Bob Thornton']
0,0,best_picture_cast,1998,True,['The Full Monty']
1,1,best_picture_cast,1998,False,['Boogie Nights']
2,2,best_picture_cast,1998,False,['Good Will Hunting']
3,3,best_picture_cast,1998,False,['L.A. Confidential']
4,4,best_picture_cast,1998,False,['Titanic']
5,5,best_picture_cast,1998,False,['na']
6,0,best_actress,1998,True,['Helen Hunt']
7,1,best_actress,1998,False,['Helena Bonham Carter']
8,2,best_actress,1998,False,['Judi Dench']
9,3,best_actress,1998,False,['Pam Grier']
10,4,best_actress,1998,False,['Kate Winslet']
11,5,best_actress,1998,False,['Robin Wright Penn']
12,0,best_actor,1998,True,['Jack Nicholson']
13,1,best_actor,1998,False,['Matt Damon']
14,2,best_actor,1998,False,['Robert Duvall']
15,3,best_actor,1998,False,['Peter Fonda']
16,4,best_actor,1998,False,['Dustin Hoffman']
17,5,best_actor,1998,False,['na']
18,0,support_actress,1998,True,['Kim Basinger']
19,1,support_actress,1998,False,['Gloria Stuart**']
20,2,support_actress,1998,False,['Minnie Driver']
21,3,support_actress,1998,False,['Alison Elliott']
22,4,support_actress,1998,False,['Julianne Moore']
23,5,support_actress,1998,False,['na']
24,0,support_actor,1998,True,['Robin Williams']
25,1,support_actor,1998,False,['Billy Connolly']
26,2,support_actor,1998,False,['Anthony Hopkins']
27,3,support_actor,1998,False,['Greg Kinnear']
28,4,support_actor,1998,False,['Burt Reynolds']
29,5,support_actor,1998,False,['na']
0,0,best_picture_cast,1997,True,['The Birdcage']
1,1,best_picture_cast,1997,False,['The English Patient']
2,2,best_picture_cast,1997,False,"[""Marvin's Room""]"
3,3,best_picture_cast,1997,False,['Shine']
4,4,best_picture_cast,1997,False,['Sling Blade']
5,0,best_actress,1997,True,['Brenda Blethyn']
6,1,best_actress,1997,False,['Diane Keaton']
7,2,best_actress,1997,False,['Frances McDormand']
8,3,best_actress,1997,False,['Gena Rowlands']
9,4,best_actress,1997,False,['Kristin Scott Thomas']
10,0,best_actor,1997,True,['Tom Cruise']
11,1,best_actor,1997,False,['Ralph Fiennes']
12,2,best_actor,1997,False,['Woody Harrelson']
13,3,best_actor,1997,False,['Geoffrey Rush']
14,4,best_actor,1997,False,['Billy Bob Thornton']
15,0,support_actress,1997,True,['Lauren Bacall']
16,1,support_actress,1997,False,['Juliette Binoche']
17,2,support_actress,1997,False,['Marisa Tomei']
18,3,support_actress,1997,False,['Gwen Verdon']
19,4,support_actress,1997,False,['Renee Zellweger']
20,0,support_actor,1997,True,['Hank Azaria']
21,1,support_actor,1997,False,['Cuba Gooding Jr.']
22,2,support_actor,1997,False,['Nathan Lane']
23,3,support_actor,1997,False,['William H. Macy']
24,4,support_actor,1997,False,['Noah Taylor']
0,0,best_picture_cast,1996,True,['Apollo 13']
1,1,best_picture_cast,1996,False,['Get Shorty']
2,2,best_picture_cast,1996,False,['How To Make An American Quilt']
3,3,best_picture_cast,1996,False,['Nixon']
4,4,best_picture_cast,1996,False,['Sense and Sensibility']
5,0,best_actress,1996,True,['Joan Allen']
6,1,best_actress,1996,False,['Susan Sarandon']
7,2,best_actress,1996,False,['Elisabeth Shue']
8,3,best_actress,1996,False,['Meryl Streep']
9,4,best_actress,1996,False,['Emma Thompson']
10,0,best_actor,1996,True,['Nicolas Cage']
11,1,best_actor,1996,False,['Anthony Hopkins']
12,2,best_actor,1996,False,['James Earl Jones']
13,3,best_actor,1996,False,['Sean Penn']
14,4,best_actor,1996,False,['Massimo Troisi']
15,0,support_actress,1996,True,['Stockard Channing']
16,1,support_actress,1996,False,['Anjelica Huston']
17,2,support_actress,1996,False,['Mira Sorvino']
18,3,support_actress,1996,False,['Mare Winningham']
19,4,support_actress,1996,False,['Kate Winslet']
20,0,support_actor,1996,True,['Kevin Bacon']
21,1,support_actor,1996,False,['Kenneth Branagh']
22,2,support_actor,1996,False,['Don Cheadle']
23,3,support_actor,1996,False,['Ed Harris']
24,4,support_actor,1996,False,['Kevin Spacey']
0,0,best_picture_cast,1995,True,['na']
1,1,best_picture_cast,1995,False,['na']
2,2,best_picture_cast,1995,False,['na']
3,3,best_picture_cast,1995,False,['na']
4,4,best_picture_cast,1995,False,['na']
5,0,best_actress,1995,True,['Jodie Foster']
6,1,best_actress,1995,False,['Jessica Lange']
7,2,best_actress,1995,False,['Meg Ryan']
8,3,best_actress,1995,False,['Susan Sarandon']
9,4,best_actress,1995,False,['Meryl Streep']
10,0,best_actor,1995,True,['Morgan Freeman']
11,1,best_actor,1995,False,['Tom Hanks']
12,2,best_actor,1995,False,['Paul Newman']
13,3,best_actor,1995,False,['Tim Robbins']
14,4,best_actor,1995,False,['John Travolta']
15,0,support_actress,1995,True,['Dianne Wiest']
16,1,support_actress,1995,False,['Jamie Lee Curtis']
17,2,support_actress,1995,False,['Sally Field']
18,3,support_actress,1995,False,['Uma Thurman']
19,4,support_actress,1995,False,['Robin Wright']
20,0,support_actor,1995,True,['Martin Landau']
21,1,support_actor,1995,False,['Samuel L. Jackson']
22,2,support_actor,1995,False,['Chazz Palminteri']
23,3,support_actor,1995,False,['Gary Sinise']
24,4,support_actor,1995,False,['JOHN TURTURRO']
